row,column,od,gfp,date,hour,plate,well
H,2,NA,NA,2018-05-07,12,yp15,H2
H,3,NA,NA,2018-05-07,12,yp15,H3
H,4,NA,NA,2018-05-07,12,yp15,H4
H,5,NA,NA,2018-05-07,12,yp15,H5
H,6,NA,NA,2018-05-07,12,yp15,H6
H,7,NA,NA,2018-05-07,12,yp15,H7
H,8,NA,NA,2018-05-07,12,yp15,H8
H,9,NA,NA,2018-05-07,12,yp15,H9
H,10,NA,NA,2018-05-07,12,yp15,H10
H,11,NA,NA,2018-05-07,12,yp15,H11
H,12,NA,NA,2018-05-07,12,yp15,H12
